IMO,SHIPNAME,LAT,LON,TIMESTAMP,LAST_PORT,LAST_PORT_ID,LAST_PORT_OP,NEXT_PORT,NEXT_PORT_ID,NEXT_PORT_OP
9060778,AASLI,51.221939,-3.360562,2024-11-22 05:42:00,,,,AVONMOUTH,129,In Ballast
9060778,AASLI,51.505966,-2.713687,2024-11-23 00:02:00,AVONMOUTH ANCH,22759,In Ballast,AVONMOUTH ANCH,22759,Fully Laden
9060778,AASLI,51.512192,-2.70074,2024-11-24 00:38:00,AVONMOUTH ANCH,22759,In Ballast,AVONMOUTH ANCH,22759,Fully Laden
9060778,AASLI,51.51218,-2.70073,2024-11-25 00:01:00,AVONMOUTH ANCH,22759,In Ballast,AVONMOUTH ANCH,22759,Fully Laden
9060778,AASLI,51.512184,-2.700758,2024-11-26 00:46:00,AVONMOUTH ANCH,22759,In Ballast,AVONMOUTH ANCH,22759,Fully Laden
9060778,AASLI,51.228378,-3.394895,2024-11-27 00:57:00,AVONMOUTH ANCH,22759,Fully Laden,BELFAST,410,In Ballast
9060778,AASLI,51.591835,-5.235738,2024-11-28 00:23:00,AVONMOUTH ANCH,22759,In Ballast,BELFAST,410,In Ballast
9060778,AASLI,54.613777,-5.915753,2024-11-29 00:52:00,AVONMOUTH ANCH,22759,In Ballast,IJMUIDEN,179,Fully Laden
9060778,AASLI,54.616684,-5.91249,2024-11-30 00:02:00,AVONMOUTH ANCH,22759,In Ballast,IJMUIDEN,179,Fully Laden
9060778,AASLI,51.674164,-5.966127,2024-12-01 00:47:00,BELFAST,410,Fully Laden,IJMUIDEN,179,Fully Laden
9060778,AASLI,50.187145,-2.407735,2024-12-02 00:43:00,BELFAST,410,Fully Laden,IJMUIDEN,179,Fully Laden
9060778,AASLI,51.928947,2.845782,2024-12-03 00:31:00,BELFAST,410,Fully Laden,IJMUIDEN,179,Fully Laden
9060778,AASLI,52.487499,4.44986,2024-12-04 00:37:00,IJMUIDEN,179,In Ballast,REKEFJORD,17488,In Ballast
9060778,AASLI,57.21384,5.945872,2024-12-05 02:36:00,IJMUIDEN,179,In Ballast,REKEFJORD,17488,In Ballast
9060778,AASLI,58.330448,6.257825,2024-12-06 00:02:00,IJMUIDEN,179,In Ballast,EEMSHAVEN,177,Fully Laden
9060778,AASLI,55.625095,6.409768,2024-12-07 00:38:00,REKEFJORD,17488,Fully Laden,EEMSHAVEN,177,Fully Laden
