PORT_ID,PORT_NAME,MONTH_YEAR,total_arrivals,vessel_count,teu_capacity_total,ceu_capacity_total
1006,YANTIAN,2024-01,300,277,3014760,0
1006,YANTIAN,2024-02,254,240,2659480,0
1006,YANTIAN,2024-03,296,274,2834608,0
1006,YANTIAN,2024-04,274,256,2795507,0
1006,YANTIAN,2024-05,296,274,3088409,0
1006,YANTIAN,2024-06,300,276,3022026,0
1006,YANTIAN,2024-07,315,298,3187295,0
1006,YANTIAN,2024-08,331,307,3399516,28
1006,YANTIAN,2024-09,319,305,3257520,0
1006,YANTIAN,2024-10,315,298,3133845,0
1006,YANTIAN,2024-11,311,295,3098282,28
1006,YANTIAN,2024-12,340,319,3404058,0
1006,YANTIAN,2025-01,314,297,3222895,0
1006,YANTIAN,2025-02,293,269,2896326,28
1006,YANTIAN,2025-03,328,292,3017593,0
1006,YANTIAN,2025-04,308,282,2894789,0
1006,YANTIAN,2025-05,294,276,2976016,0
1006,YANTIAN,2025-06,316,292,3102638,0
1006,YANTIAN,2025-07,314,298,3030772,0
1006,YANTIAN,2025-08,95,95,905915,0
1007,SHENZHEN,2024-01,206,176,1016555,0
1007,SHENZHEN,2024-02,160,138,758767,0
1007,SHENZHEN,2024-03,192,160,895496,0
1007,SHENZHEN,2024-04,192,157,893086,0
1007,SHENZHEN,2024-05,216,177,1049203,0
1007,SHENZHEN,2024-06,207,171,937252,0
1007,SHENZHEN,2024-07,231,187,1018399,0
1007,SHENZHEN,2024-08,250,205,1161268,0
1007,SHENZHEN,2024-09,225,191,972031,0
1007,SHENZHEN,2024-10,233,203,1108298,0
1007,SHENZHEN,2024-11,256,203,1086499,0
1007,SHENZHEN,2024-12,260,223,1218034,0
1007,SHENZHEN,2025-01,249,213,1203115,0
1007,SHENZHEN,2025-02,226,188,959652,0
1007,SHENZHEN,2025-03,243,199,994189,0
1007,SHENZHEN,2025-04,215,179,920446,0
1007,SHENZHEN,2025-05,225,182,970888,0
1007,SHENZHEN,2025-06,213,182,933803,0
1007,SHENZHEN,2025-07,218,181,1002576,0
1007,SHENZHEN,2025-08,78,73,315223,0
1245,YANTAI,2024-01,55,21,79284,0
1245,YANTAI,2024-02,44,28,66441,0
1245,YANTAI,2024-03,48,24,72810,0
1245,YANTAI,2024-04,40,22,58107,0
1245,YANTAI,2024-05,41,23,68414,0
1245,YANTAI,2024-06,41,18,61690,0
1245,YANTAI,2024-07,45,18,62873,0
1245,YANTAI,2024-08,54,21,85210,0
1245,YANTAI,2024-09,49,20,65844,0
1245,YANTAI,2024-10,49,18,67034,0
1245,YANTAI,2024-11,50,19,67753,0
1245,YANTAI,2024-12,49,19,68472,0
1245,YANTAI,2025-01,36,19,52434,0
1245,YANTAI,2025-02,47,26,72267,0
1245,YANTAI,2025-03,45,21,69285,0
1245,YANTAI,2025-04,50,24,87978,0
1245,YANTAI,2025-05,50,19,86874,0
1245,YANTAI,2025-06,47,20,84622,0
1245,YANTAI,2025-07,54,21,81010,0
1245,YANTAI,2025-08,19,15,32795,0
1247,BEIHAI,2024-01,5,2,5954,0
1247,BEIHAI,2024-02,5,1,5020,0
1247,BEIHAI,2024-05,3,1,3012,0
1247,BEIHAI,2024-06,1,1,1004,0
1247,BEIHAI,2024-07,1,1,1708,0
1247,BEIHAI,2024-08,1,1,1004,0
1247,BEIHAI,2024-09,1,1,1004,0
1247,BEIHAI,2024-10,1,1,1708,0
1247,BEIHAI,2024-11,3,2,4354,0
1247,BEIHAI,2025-01,3,2,3068,0
1247,BEIHAI,2025-02,5,2,5348,0
1247,BEIHAI,2025-03,3,2,3528,0
1247,BEIHAI,2025-04,5,2,4926,0
1249,FUZHOU,2024-01,35,10,19717,0
1249,FUZHOU,2024-02,30,12,20462,0
1249,FUZHOU,2024-03,37,7,21027,0
1249,FUZHOU,2024-04,32,10,18261,0
1249,FUZHOU,2024-05,30,9,19789,0
1249,FUZHOU,2024-06,25,8,17060,0
1249,FUZHOU,2024-07,24,6,17700,0
