PORT_ID,PORT_NAME,MONTH_YEAR,total_arrivals,vessel_count,teu_capacity_total,ceu_capacity_total
1020,COVE POINT,2024-10,1,1,6188,0
131,BOSTON,2024-01,18,16,125422,0
131,BOSTON,2024-02,16,16,114910,0
131,BOSTON,2024-03,14,14,108538,0
131,BOSTON,2024-04,16,16,131798,0
131,BOSTON,2024-05,16,16,108378,0
131,BOSTON,2024-06,14,14,105712,0
131,BOSTON,2024-07,14,14,107511,0
131,BOSTON,2024-08,13,13,91276,0
131,BOSTON,2024-09,16,16,111735,0
131,BOSTON,2024-10,12,11,86118,0
131,BOSTON,2024-11,17,16,114200,0
131,BOSTON,2024-12,15,15,103558,0
131,BOSTON,2025-01,14,13,88554,0
131,BOSTON,2025-02,14,14,104820,0
131,BOSTON,2025-03,15,15,111204,0
131,BOSTON,2025-04,19,19,146331,0
131,BOSTON,2025-05,29,18,227484,0
131,BOSTON,2025-06,17,17,116836,0
131,BOSTON,2025-07,23,16,186074,0
131,BOSTON,2025-08,6,6,53416,0
136,NORFOLK,2024-01,131,129,991003,0
136,NORFOLK,2024-02,129,127,978637,0
136,NORFOLK,2024-03,131,125,954844,0
136,NORFOLK,2024-04,136,133,1027716,0
136,NORFOLK,2024-05,140,136,1068604,0
136,NORFOLK,2024-06,134,131,974466,28
136,NORFOLK,2024-07,141,139,1122557,0
136,NORFOLK,2024-08,135,130,1022460,0
136,NORFOLK,2024-09,134,129,1034365,28
136,NORFOLK,2024-10,124,118,978045,0
136,NORFOLK,2024-11,122,116,946572,0
136,NORFOLK,2024-12,123,121,959256,0
136,NORFOLK,2025-01,141,123,1040261,28
136,NORFOLK,2025-02,125,110,950669,0
136,NORFOLK,2025-03,156,138,1202778,0
136,NORFOLK,2025-04,138,126,987283,0
136,NORFOLK,2025-05,146,128,1058613,0
136,NORFOLK,2025-06,123,119,886641,0
136,NORFOLK,2025-07,121,119,899608,6600
136,NORFOLK,2025-08,40,40,309370,0
137,NEW YORK,2024-01,185,168,1248566,0
137,NEW YORK,2024-02,174,162,1195966,360
137,NEW YORK,2024-03,172,159,1207491,480
137,NEW YORK,2024-04,179,162,1233116,480
137,NEW YORK,2024-05,185,167,1254995,600
137,NEW YORK,2024-06,169,157,1142724,480
